TeamName,TeamRank,Pos,Name,Age,GamesPlayed,PA,AB,RunScored,H,2B,3B,HomeRuns,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Atlanta Braves,2,C,Travis d'Arnaud,33,107,426,396,61,106,25,1,18,60,0,0,19,90,0.268,0.319,0.472,0.791,119,187,12,11,0,0,0
Atlanta Braves,2,1B,Matt Olson*,28,162,699,616,86,148,44,0,34,103,0,0,75,170,0.24,0.325,0.477,0.802,122,294,13,4,0,4,6
Atlanta Braves,2,2B,Ozzie Albies#,25,64,269,247,36,61,16,0,8,35,3,5,16,47,0.247,0.294,0.409,0.703,95,101,0,2,0,4,0
New York Yankees,19,C,Jose Trevino,29,115,353,335,39,83,12,1,11,43,2,1,15,62,0.248,0.283,0.388,0.671,90,130,5,2,0,1,0
New York Yankees,19,1B,Anthony Rizzo*,32,130,548,465,77,104,21,1,32,75,6,5,58,101,0.224,0.338,0.48,0.817,131,223,13,23,0,2,6
New York Yankees,19,2B,Gleyber Torres,25,140,572,526,73,135,28,1,24,76,10,5,39,129,0.257,0.31,0.451,0.761,114,237,12,3,1,3,2
Arizona Diamondbacks,1,C,Carson Kelly,27,104,354,317,40,67,18,0,7,35,2,0,29,71,0.211,0.282,0.334,0.617,76,106,10,4,0,4,0
Arizona Diamondbacks,1,1B,Christian Walker,31,160,667,583,84,141,25,2,36,94,2,2,69,131,0.242,0.327,0.477,0.804,126,278,15,8,0,7,2
Arizona Diamondbacks,1,2B,Ketel Marte#,28,137,558,492,68,118,42,2,12,52,5,1,55,101,0.24,0.321,0.407,0.727,106,200,12,6,0,5,3
Arizona Diamondbacks,1,SS,Geraldo Perdomo#,22,148,500,431,58,84,10,2,5,40,9,2,50,103,0.195,0.285,0.262,0.547,58,113,3,5,12,2,0
Boston Red Sox,4,C,Christian Vazquez,31,84,318,294,33,83,20,0,8,42,1,2,18,51,0.282,0.327,0.432,0.759,109,127,7,3,0,3,0
Boston Red Sox,4,1B,Bobby Dalbec,27,117,353,317,40,68,9,2,12,39,3,0,29,118,0.215,0.283,0.369,0.652,80,117,5,3,0,4,0
Boston Red Sox,4,2B,Trevor Story,29,94,396,357,53,85,22,0,16,66,13,0,32,122,0.238,0.303,0.434,0.737,102,155,9,3,0,4,4
Boston Red Sox,4,SS,Xander Bogaerts,29,150,631,557,84,171,38,0,15,73,8,2,57,118,0.307,0.377,0.456,0.833,131,254,14,10,0,7,2
Boston Red Sox,4,3B,Rafael Devers*,25,141,614,555,84,164,42,1,27,88,3,1,50,114,0.295,0.358,0.521,0.879,141,289,14,6,0,3,11
Chicago Cubs,5,C,Willson Contreras,30,113,487,416,65,101,23,2,22,55,4,2,45,103,0.243,0.349,0.466,0.815,128,194,14,24,0,2,0
Chicago Cubs,5,1B,Alfonso Rivas*,25,101,287,251,27,59,5,2,3,25,6,1,29,87,0.235,0.322,0.307,0.628,80,77,1,4,1,2,1
Chicago Cubs,5,2B,Nick Madrigal,25,59,228,209,19,52,7,0,0,7,3,1,14,27,0.249,0.305,0.282,0.588,68,59,6,3,2,0,0
Chicago Cubs,5,SS,Nico Hoerner,25,135,517,481,60,135,22,5,10,55,20,2,28,57,0.281,0.327,0.41,0.736,107,197,11,6,0,2,4
Chicago Cubs,5,3B,Patrick Wisdom,30,134,534,469,67,97,28,0,25,66,8,4,53,183,0.207,0.298,0.426,0.725,102,200,8,9,1,2,1
LA Dodgers,14,C,Will Smith,27,137,578,508,68,132,26,3,24,87,1,0,56,96,0.26,0.343,0.465,0.807,120,236,11,10,0,4,4
LA Dodgers,14,1B,Freddie Freeman*,32,159,708,612,117,199,47,2,21,100,13,3,84,102,0.325,0.407,0.511,0.918,152,313,6,5,0,7,12
LA Dodgers,14,2B,Gavin Lux*,24,129,471,421,66,116,20,7,6,42,7,2,47,95,0.276,0.346,0.399,0.745,105,168,3,0,0,3,0
LA Dodgers,14,SS,Trea Turner,29,160,708,652,101,194,39,4,21,100,27,3,45,131,0.298,0.343,0.466,0.809,121,304,9,3,0,6,1
LA Dodgers,14,3B,Max Muncy*,31,136,565,464,69,91,22,1,21,69,2,0,90,141,0.196,0.329,0.384,0.713,96,178,2,5,0,6,1
LA Dodgers,14,LF,Chris Taylor,31,118,454,402,45,89,25,3,10,43,10,1,44,160,0.221,0.304,0.373,0.677,86,150,4,5,0,3,2
Baltimore Orioles,3,C,Adley Rutschman#,24,113,470,398,70,101,35,1,13,42,4,0,65,86,0.254,0.362,0.445,0.806,128,177,4,4,0,3,0
Baltimore Orioles,3,1B,Ryan Mountcastle,25,145,609,555,62,139,28,1,22,85,4,1,43,154,0.25,0.305,0.423,0.729,105,235,12,4,0,7,1
Baltimore Orioles,3,2B,Rougned Odor*,28,135,472,426,49,88,19,3,13,53,6,1,32,109,0.207,0.275,0.357,0.632,79,152,9,10,0,4,1
Baltimore Orioles,3,SS,Jorge Mateo,27,150,533,494,63,109,25,7,13,50,35,9,27,147,0.221,0.267,0.379,0.646,81,187,8,5,3,2,0
Baltimore Orioles,3,3B,Ramon Urias,28,118,445,403,50,100,17,1,16,51,1,0,30,98,0.248,0.305,0.414,0.72,103,167,7,5,3,4,1
Baltimore Orioles,3,LF,Austin Hays,26,145,582,535,66,134,35,2,16,60,2,4,34,114,0.25,0.306,0.413,0.719,103,221,11,10,0,3,0
Baltimore Orioles,3,CF,Cedric Mullins*,27,156,672,608,89,157,32,4,16,64,34,10,47,126,0.258,0.318,0.403,0.721,104,245,4,9,1,5,2
